MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;1;1;1;11.08;11.872;131.54
1;1;2;2;10.45;1.53;15.99
1;1;2;2;10.45;2.373;24.8
1;1;2;2;10.45;2.535;26.49
1;1;2;2;10.45;2.978;31.12
1;1;2;2;10.45;3.158;33
1;1;2;2;10.45;2.731;28.54
1;1;2;2;10.45;3.152;32.94
1;1;2;2;10.45;2.486;25.98
1;1;2;2;10.45;2.862;29.91
1;1;2;2;10.45;7.774;81.24
1;1;1;1;10.96;15.384;168.61
1;1;1;1;10.96;12.058;132.16
1;1;1;1;10.96;7.226;79.2
1;1;1;1;10.96;12.636;138.49
1;1;1;1;10.96;13.686;150
1;1;1;1;10.96;17.6;192.9
1;1;1;1;10.96;15.179;166.36
1;1;1;1;10.96;12.428;136.21
1;1;1;1;10.96;16.105;176.51
1;1;1;1;10.96;11.023;120.81
1;1;1;1;10.96;10.575;115.9
1;1;1;1;10.96;14.702;161.13
1;1;1;1;10.96;12.975;142.21
1;1;1;1;10.96;17.282;189.41
1;1;1;1;10.96;13.413;147.01
1;1;1;1;10.96;14.682;160.91
1;1;1;1;10.96;11.642;127.6
1;1;1;1;10.96;11.574;126.85
1;1;1;1;10.96;12.638;138.51
1;1;1;1;10.96;16.025;175.63
1;1;1;1;10.96;13.054;143.07
1;1;1;1;10.96;13.336;146.16
1;1;1;1;10.96;12.329;135.13
1;6;1;1;10.96;9.349;102.47
1;1;1;1;10.96;14.22;155.85
1;4;1;1;10.96;7.912;86.72
1;1;1;1;10.96;8.135;89.16
1;4;1;1;10.96;8.678;95.11
1;1;1;1;10.96;15.337;168.09
1;1;1;1;10.96;9.511;104.24
1;6;1;1;10.96;6.617;72.52
1;3;1;1;10.96;15.752;172.64
1;3;1;1;10.96;10.875;119.19
1;2;1;1;10.96;14.884;163.13
1;2;1;1;10.96;16.806;184.19
1;2;1;1;10.96;18.069;198.04
1;3;1;1;10.96;56.379;617.91
1;4;1;1;10.96;14.07;154.21
1;4;1;1;10.96;17.988;197.15
1;3;1;1;10.96;29.836;327
1;2;1;1;10.96;18.64;204.29
1;2;1;1;10.96;16.335;179.03
1;2;1;1;10.96;14.502;158.94
1;2;1;1;10.96;12.15;133.16
1;1;1;2;10.45;2.545;26.6
1;1;1;2;10.45;5.223;54.58
1;1;1;2;10.45;2.2;22.99
1;1;1;2;10.45;2.434;25.44
1;1;1;2;10.45;3.143;32.84
1;1;1;2;10.45;2.277;23.79
1;1;1;2;10.45;1.215;12.7
1;1;1;2;10.45;2.59;27.07
1;1;1;2;10.45;2.281;23.84
1;1;1;2;10.45;1.628;17.01
1;1;1;2;10.45;3.075;32.13
1;1;1;2;10.45;7.466;78.02
1;1;1;3;16.69;11.742;195.97
1;6;1;2;10.45;10.478;109.5
1;1;1;1;10.96;13.594;148.99
1;1;1;1;10.96;13.242;145.13
1;1;1;1;10.96;9.358;102.56
1;1;1;1;10.96;9.005;98.69
1;1;1;1;10.96;15.078;165.25
1;1;1;1;10.96;13.054;143.07
1;1;1;1;10.96;7.871;86.27
1;1;1;1;10.96;13.511;148.08
1;1;1;1;10.96;4.266;46.76
1;1;1;1;10.96;6.876;75.36
1;1;1;1;10.96;15.636;171.37
1;1;1;1;10.96;12.431;136.24
1;1;1;1;10.96;13.581;148.85
1;5;1;1;10.96;10.595;116.12
1;1;1;1;10.96;11.988;131.39
1;1;1;1;10.96;8.39;91.95
1;1;1;1;10.96;8.348;91.49
1;1;1;1;10.96;13.719;150.36
1;1;1;1;10.96;14.121;154.77
1;6;1;1;10.96;5.222;57.23
1;3;1;1;10.96;10.233;112.15
1;1;1;1;10.96;9.797;107.38
1;1;1;1;10.96;6.532;71.59
1;3;1;1;10.96;57.512;630.33
1;1;1;1;10.96;8.179;89.64
1;2;1;1;10.96;15.48;169.66
1;1;1;1;10.96;3.596;39.41
1;2;1;1;10.96;11.079;121.43
1;1;1;1;10.96;9.917;108.69
1;3;1;1;10.96;7.771;85.17
1;6;1;1;10.96;15.174;166.31
1;2;1;1;10.96;17.21;188.62
1;2;1;1;10.96;15.335;168.07
1;4;1;1;10.96;5.238;57.41
1;1;1;1;10.96;7.264;79.61
1;2;1;1;10.96;9.142;100.2
1;2;1;1;10.96;13.138;143.99
1;3;1;1;10.96;19.354;212.12
1;6;1;1;10.96;6.021;65.99
1;1;1;2;10.45;2.065;21.58
1;1;1;2;10.45;2.445;25.55
1;1;1;2;10.45;1.638;17.12
1;1;1;2;10.45;10.704;111.86
1;1;1;2;10.45;1.526;15.95
1;1;1;2;10.45;1.605;16.77
1;1;1;2;10.45;1.96;20.48
1;1;1;2;10.45;2.84;29.68
1;5;1;2;10.45;9.548;99.78
1;1;1;2;10.45;2.878;30.08
1;1;1;3;16.69;15.282;255.06
1;1;1;2;10.45;2.714;28.36
1;1;1;2;10.45;1.556;16.26
1;1;1;2;10.45;2.076;21.69
1;3;1;2;10.45;70;731.5
1;1;1;2;10.45;3.18;33.23
1;1;1;2;10.45;2.992;31.27
1;1;1;1;10.96;10.311;113.01
1;1;1;1;10.96;12.461;136.57
1;1;1;1;10.96;7.763;85.08
1;1;1;1;10.96;4.649;50.95
1;1;1;1;10.96;9.957;109.13
1;3;2;2;10.45;70;731.5
1;1;1;1;10.96;11.122;121.9
1;1;1;1;10.96;10.347;113.4
1;6;1;1;10.96;7.696;84.35
1;1;1;1;10.96;5.215;57.16
1;1;1;1;10.96;5.105;55.95
1;4;1;1;10.96;2.514;27.55
1;4;1;1;10.96;12.598;138.07
1;1;1;1;10.96;10.335;113.27
1;1;1;1;10.96;5.754;63.06
1;1;1;1;10.96;9.922;108.75
1;1;1;1;10.96;9.902;108.53
1;2;1;1;10.96;26.968;295.57
1;1;1;1;10.96;7.088;77.68
1;1;1;1;10.96;10.613;116.32
1;1;1;1;10.96;11.454;125.54
1;1;1;1;10.96;12.603;138.13
1;1;1;1;10.96;11.676;127.97
1;1;1;1;10.96;6.277;68.8
1;5;1;1;10.96;7.787;85.35
1;4;1;1;10.96;11.806;129.39
1;1;1;1;10.96;10.112;110.83
1;6;1;1;10.96;5.694;62.41
1;4;1;1;10.96;13.879;152.11
1;3;1;1;10.96;7.904;86.63
1;4;1;1;10.96;13.73;150.48
1;2;1;1;10.96;14.935;163.69
1;2;1;1;10.96;11.746;128.74
1;2;1;1;10.96;13.056;143.09
1;1;1;1;10.96;8.228;90.18
1;2;1;1;10.96;17.097;187.38
1;3;1;1;10.96;66.768;731.78
1;1;1;1;10.96;9.342;102.39
1;2;1;1;10.96;15.603;171.01
1;3;1;1;10.96;20.435;223.97
1;1;1;1;10.96;9.534;104.49
1;1;1;2;10.45;3.09;32.29
1;1;1;2;10.45;3.005;31.4
1;1;1;2;10.45;1.426;14.9
1;1;1;3;16.69;8.931;149.06
1;1;1;2;10.45;1.279;13.37
1;1;1;2;10.45;2.313;24.17
1;1;1;2;10.45;2.249;23.5
1;1;1;2;10.45;8.328;87.03
1;1;1;2;10.45;1.965;20.53
1;3;1;2;10.45;70;731.5
1;1;1;2;10.45;2.909;30.4
1;5;1;2;10.45;9.389;98.12
1;1;1;2;10.45;2.423;25.32
1;1;1;2;10.45;1.896;19.81
1;1;1;2;10.45;3.011;31.46
1;1;1;1;11.08;12.245;135.67
1;1;1;1;11.08;7.757;85.95
1;1;1;1;11.08;7.668;84.96
1;1;1;1;11.08;13.354;147.96
1;1;1;1;11.08;6.212;68.83
1;1;1;1;11.08;11.561;128.1
1;1;1;1;11.08;6.222;68.94
1;5;1;1;11.08;8.657;95.92
1;1;1;1;11.08;16.598;183.91
1;1;1;1;11.08;9.646;106.88
1;1;1;1;11.08;14.002;155.14
1;1;1;1;11.08;12.704;140.76
1;1;1;1;11.08;5.943;65.85
1;1;1;1;11.08;11.975;132.68
1;1;1;1;11.08;7.645;84.71
1;6;1;1;11.08;4.067;45.06
1;6;1;1;11.08;4.378;48.51
1;1;1;1;11.08;12.633;139.97
1;1;1;1;11.08;5.892;65.28
1;1;1;1;11.08;12.365;137
1;1;1;1;11.08;9.733;107.84
1;1;1;1;11.08;9.365;103.76
1;2;1;1;11.08;29.753;329.66
1;4;1;1;11.08;6.315;69.97
1;2;1;1;11.08;33.821;374.74
1;1;1;1;11.08;4.355;48.25
1;2;1;1;11.08;12.862;142.51
1;3;1;1;11.08;29.749;329.62
1;2;1;1;11.08;14.067;155.86
1;1;1;1;11.08;13.503;149.61
