"CODIGO_
ENTIDAD";"CODIGO_
UBIGEO";"CODIGO_
PAIS";DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE_UO;GOBIERNO_LOCAL;RUC_GOBIERNO_LOCAL;"AÑO_
GASTO";"MES_
GASTO";USO_DEPENDENCIA;"NRO_PLACA
COD_VEHICULO";"NUMERO_
VALE";"FECHA_
CONSUMO";PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO;"FECHA_
CORTE"
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-053;27303;20210111;1er QUINCENA;DIESEL;11.08;11.872;131.54;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2059;57473;20210118;2da QUINCENA;GASOHOL 90;10.45;1.53;15.99;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2097;57474;20210118;2da QUINCENA;GASOHOL 90;10.45;2.373;24.8;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2085;57475;20210118;2da QUINCENA;GASOHOL 90;10.45;2.535;26.49;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2077;57476;20210118;2da QUINCENA;GASOHOL 90;10.45;2.978;31.12;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2095;57477;20210118;2da QUINCENA;GASOHOL 90;10.45;3.158;33;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2094;57478;20210118;2da QUINCENA;GASOHOL 90;10.45;2.731;28.54;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2086;57479;20210118;2da QUINCENA;GASOHOL 90;10.45;3.152;32.94;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2073;57480;20210118;2da QUINCENA;GASOHOL 90;10.45;2.486;25.98;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;DEFENSA CIVIL ;EU-0303;57481;20210118;2da QUINCENA;GASOHOL 90;10.45;2.862;29.91;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;BOD-453;57482;20210118;2da QUINCENA;GASOHOL 90;10.45;7.774;81.24;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-056;57044;20210102;1er QUINCENA;DIESEL;10.96;15.384;168.61;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-095;57045;20210102;1er QUINCENA;DIESEL;10.96;12.058;132.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-8372;57046;20210102;1er QUINCENA;DIESEL;10.96;7.226;79.2;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-101;57047;20210102;1er QUINCENA;DIESEL;10.96;12.636;138.49;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-102;57048;20210102;1er QUINCENA;DIESEL;10.96;13.686;150;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-981;57049;20210102;1er QUINCENA;DIESEL;10.96;17.6;192.9;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-6224;57050;20210102;1er QUINCENA;DIESEL;10.96;15.179;166.36;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-052;57051;20210102;1er QUINCENA;DIESEL;10.96;12.428;136.21;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-3483;57052;20210102;1er QUINCENA;DIESEL;10.96;16.105;176.51;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-6147;57053;20210102;1er QUINCENA;DIESEL;10.96;11.023;120.81;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-9100;57054;20210102;1er QUINCENA;DIESEL;10.96;10.575;115.9;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-5058;57055;20210102;1er QUINCENA;DIESEL;10.96;14.702;161.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-7019;57056;20210102;1er QUINCENA;DIESEL;10.96;12.975;142.21;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-105;57057;20210102;1er QUINCENA;DIESEL;10.96;17.282;189.41;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-5823;57058;20210102;1er QUINCENA;DIESEL;10.96;13.413;147.01;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-096;57059;20210102;1er QUINCENA;DIESEL;10.96;14.682;160.91;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-097;57060;20210102;1er QUINCENA;DIESEL;10.96;11.642;127.6;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-674;57061;20210102;1er QUINCENA;DIESEL;10.96;11.574;126.85;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-1256;57062;20210102;1er QUINCENA;DIESEL;10.96;12.638;138.51;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-053;57063;20210102;1er QUINCENA;DIESEL;10.96;16.025;175.63;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-9503;57064;20210102;1er QUINCENA;DIESEL;10.96;13.054;143.07;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-681;57065;20210102;1er QUINCENA;DIESEL;10.96;13.336;146.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-8846;57066;20210102;1er QUINCENA;DIESEL;10.96;12.329;135.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;EUD-838;57067;20210102;1er QUINCENA;DIESEL;10.96;9.349;102.47;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-092;57067;20210102;1er QUINCENA;DIESEL;10.96;14.22;155.85;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-664;57069;20210102;1er QUINCENA;DIESEL;10.96;7.912;86.72;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-4516;57070;20210102;1er QUINCENA;DIESEL;10.96;8.135;89.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-684;57071;20210102;1er QUINCENA;DIESEL;10.96;8.678;95.11;20211231
